# ID(s) interactor A,ID(s) interactor B,Alt. ID(s) interactor A,Alt. ID(s) interactor B,Alias(es) interactor A,Alias(es) interactor B,Interaction detection method(s),Publication 1st author(s),Publication Identifier(s),Taxid interactor A,Taxid interactor B,Interaction type(s),Source database(s),Interaction identifier(s),Confidence value(s)
uniprotkb:Q9LNW0,uniprotkb:P00346,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,uniprotkb:P00346|intact:EBI-905520|uniprotkb:Q95308,psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|MINT:HSP17.8(author assigned name),"psi-mi:mdhm_pig(display_short)|psi-mi:Malate dehydrogenase, mitochondrial(display_long)|uniprotkb:MDH2(gene name)|MINT:Mdh(author assigned name)","psi-mi:""MI:0071""(molecular sieving)",Eisenhardt BD. et al.(2012),intact:EBI-7898029|mint:MINT-8375039|mint:MINT-8375037|pubmed:22641032,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:9823(pig)|taxid:9823(""Sus scrofa (Pig)"")","psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0471""(MINT, Dpt of Biology, University of Rome Tor Vergata)",intact:EBI-7898071|mint:MINT-8375269,intact-miscore:0.44
uniprotkb:Q9LNW0,uniprotkb:Q8S8J1,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,uniprotkb:Q8S8J1|intact:EBI-4431216|ensemblplants:AT2G07738.1,psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|IntAct:AT1G07400(author assigned name),psi-mi:q8s8j1_arath(display_short)|uniprotkb:At2g07738(locus name)|uniprotkb:T5E7_3(orf name)|uniprotkb:T5E7.3(orf name)|IntAct:AT2G07738(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4503032|imex:IM-16043-2629,intact-miscore:0.37
uniprotkb:Q9LNW0,uniprotkb:Q55168,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,intact:EBI-1608452|ensemblbacteria:BAA10307|intact:EBI-594457|uniprotkb:Q55168,psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|MINT:HSP17.8(author assigned name),psi-mi:phy1_syny3(display_short)|psi-mi:Phytochrome-like protein Cph1(display_long)|uniprotkb:Light-regulated histidine kinase 1(gene name synonym)|uniprotkb:slr0473(locus name)|uniprotkb:Bacteriophytochrome Cph1(gene name synonym)|uniprotkb:cph1(gene name)|MINT:CPH1&#916;2(author assigned name),"psi-mi:""MI:0071""(molecular sieving)",Eisenhardt BD. et al.(2012),intact:EBI-7898029|mint:MINT-8375039|mint:MINT-8375037|pubmed:22641032,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:1111708(syny3)|taxid:1111708(""Synechocystis sp. (strain PCC 6803 / Kazusa)"")","psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0471""(MINT, Dpt of Biology, University of Rome Tor Vergata)",intact:EBI-7898045|mint:MINT-8375087,intact-miscore:0.44
uniprotkb:Q9LNW0,uniprotkb:Q9FGM9,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,uniprotkb:Q9FGM9|intact:EBI-4428388|ensemblplants:AT5G51440.1|uniprotkb:Q8LCB4,psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|IntAct:AT1G07400(author assigned name),"psi-mi:hs235_arath(display_short)|psi-mi:23.5 kDa heat shock protein, mitochondrial(display_long)|uniprotkb:HSP23.5(gene name)|uniprotkb:At5g51440(locus name)|uniprotkb:MFG13.15(orf name)|IntAct:AT5G51440(author assigned name)","psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4514368|imex:IM-16043-4046,intact-miscore:0.37
uniprotkb:Q9LNW0,uniprotkb:Q9LQQ1,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,uniprotkb:Q9LQQ1|intact:EBI-4428433|ensemblplants:AT1G07740.1,psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|IntAct:AT1G07400(author assigned name),"psi-mi:ppr20_arath(display_short)|psi-mi:Pentatricopeptide repeat-containing protein At1g07740, mitochondrial(display_long)|uniprotkb:At1g07740(locus name)|uniprotkb:F24B9.15(orf name)|IntAct:AT1G07740(author assigned name)","psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4520528|imex:IM-16043-4816,intact-miscore:0.37
uniprotkb:Q9LNW0,uniprotkb:Q94BV2,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,ensemblplants:AT5G58575.1|ensemblplants:AT5G58575.2|intact:EBI-4430022|uniprotkb:Q94BV2,psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|IntAct:AT1G07400(author assigned name),psi-mi:sgf11_arath(display_short)|psi-mi:SAGA-associated factor 11(display_long)|uniprotkb:MZN1(orf name)|uniprotkb:At5g58575(locus name)|uniprotkb:SGF11(gene name)|IntAct:AT5G58575(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4509616|imex:IM-16043-3452,intact-miscore:0.37
uniprotkb:P19037,uniprotkb:Q9LNW0,uniprotkb:P19037|intact:EBI-4446867|ensemblplants:AT5G59720.1|uniprotkb:Q8L8S1|uniprotkb:Q0WQZ8,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,psi-mi:hs181_arath(display_short)|psi-mi:18.1 kDa class I heat shock protein(display_long)|uniprotkb:HSP18.1(gene name)|uniprotkb:At5g59720(locus name)|uniprotkb:MTH12.7(orf name)|uniprotkb:18.1 kDa heat shock protein(gene name synonym)|IntAct:AT5G59720(author assigned name),psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|IntAct:AT1G07400(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4487128|imex:IM-16043-641,intact-miscore:0.37
uniprotkb:Q9LEX0,uniprotkb:Q9LNW0,uniprotkb:Q3EAG4|uniprotkb:Q94CC2|ensemblplants:AT3G61060.1|intact:EBI-604261|uniprotkb:Q9LEX0,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,psi-mi:p2a13_arath(display_short)|psi-mi:F-box protein PP2-A13(display_long)|uniprotkb:Protein PHLOEM PROTEIN 2-LIKE A13(gene name synonym)|uniprotkb:At3g61060(locus name)|uniprotkb:T27I15.150(orf name)|uniprotkb:SKIP9(gene name synonym)|uniprotkb:SKP1-interacting partner 9(gene name synonym)|uniprotkb:PP2A13(gene name)|IntAct:AT3G61060(author assigned name),psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|IntAct:AT1G07400(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4518640|imex:IM-16043-4580,intact-miscore:0.37
uniprotkb:Q9LNW0,uniprotkb:Q8GYJ9,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,uniprotkb:Q8GYJ9|intact:EBI-4424843|ensemblplants:AT1G31160.1,psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|IntAct:AT1G07400(author assigned name),psi-mi:q8gyj9_arath(display_short)|uniprotkb:hinT(gene name)|uniprotkb:At1g31160/F28K20_9(locus name)|uniprotkb:At1g31160(locus name)|uniprotkb:F28K20_9(orf name)|uniprotkb:F28K20.9(orf name)|uniprotkb:HINT 2(gene name synonym)|IntAct:AT1G31160(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4497696|imex:IM-16043-1962,intact-miscore:0.37
uniprotkb:O04294,uniprotkb:Q9LNW0,intact:EBI-6368711|uniprotkb:O04255|uniprotkb:Q94F55|uniprotkb:O49601|uniprotkb:Q4JHM3|ensemblplants:AT4G02150.1|intact:EBI-1644689|uniprotkb:O04294,ensemblplants:AT1G07400.1|intact:EBI-4428400|uniprotkb:Q9LNW0,psi-mi:impa3_arath(display_short)|psi-mi:Importin subunit alpha-3(display_long)|uniprotkb:KAP2(gene name synonym)|uniprotkb:Karyopherin subunit alpha-2(gene name synonym)|uniprotkb:MOS6(gene name synonym)|uniprotkb:Protein MODIFIER OF SNC1 6(gene name synonym)|uniprotkb:T10M13.16(orf name)|uniprotkb:At4g02150(locus name)|uniprotkb:IMPA3(gene name)|IntAct:AT4G02150(author assigned name),psi-mi:hs178_arath(display_short)|psi-mi:17.8 kDa class I heat shock protein(display_long)|uniprotkb:17.8 kDa heat shock protein(gene name synonym)|uniprotkb:F22G5.25(orf name)|uniprotkb:At1g07400(locus name)|uniprotkb:HSP17.8(gene name)|IntAct:AT1G07400(author assigned name),"psi-mi:""MI:0397""(two hybrid array)",Arabidopsis Consortium. et al.(2011),intact:EBI-4479889|pubmed:21798944|imex:IM-16043,"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")","psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0469""(European Bioinformatics Institute)",intact:EBI-4482504|imex:IM-16043-63,intact-miscore:0.37
